PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,PG.CV,PG.Qvalue,PG.MolecularWeight,control_detected_samples,control_detection_rate,low_detected_samples,low_detection_rate,high_detected_samples,high_detection_rate
A0A024R1R8;Q9Y2S6,TMA7B;TMA7,Translation machinery-associated protein 7B;Translation machinery-associated protein 7,TMA7B_HUMAN;TMA7_HUMAN,1.079098096069756,0.0073810825587752,7091.39;7066.29,81,0.5294117647058824,111,0.5967741935483871,90,0.5113636363636364
A0A075B6H9,IGLV4-69,Immunoglobulin lambda variable 4-69,LV469_HUMAN,1.664694312465617,0.0016233766233766,12773.26,150,0.9803921568627451,182,0.978494623655914,172,0.9772727272727273
A0A075B6I0,IGLV8-61,Immunoglobulin lambda variable 8-61,LV861_HUMAN,1.380970370303645,0.0072727272727272,12814.37,138,0.9019607843137255,166,0.8924731182795699,162,0.9204545454545454
A0A075B6I4,IGLV10-54,Immunoglobulin lambda variable 10-54,LVX54_HUMAN,1.2147319760769,0.0072727272727272,12394.85,103,0.673202614379085,137,0.7365591397849462,125,0.7102272727272727
A0A075B6J9,IGLV2-18,Immunoglobulin lambda variable 2-18,LV218_HUMAN,1.388263967976395,0.0040983606557377,12411.7,138,0.9019607843137255,178,0.956989247311828,160,0.9090909090909091
A0A075B6K4,IGLV3-10,Immunoglobulin lambda variable 3-10,LV310_HUMAN,1.536986485734956,0.0073810825587752,12440.85,140,0.9150326797385621,169,0.9086021505376344,159,0.9034090909090909
A0A075B6K5,IGLV3-9,Immunoglobulin lambda variable 3-9,LV39_HUMAN,1.525876730830765,0.0016233766233766,12331.71,153,1.0,186,1.0,176,1.0
A0A075B6P5;P01615,IGKV2-28;IGKV2D-28,Immunoglobulin kappa variable 2-28;Immunoglobulin kappa variable 2D-28,KV228_HUMAN;KVD28_HUMAN,1.266506381467248,0.0016233766233766,12956.74;12956.74,148,0.9673202614379085,186,1.0,174,0.9886363636363636
A0A075B6R2,IGHV4-4,Immunoglobulin heavy variable 4-4,HV404_HUMAN,1.946920190580679,0.0073810825587752,12847.71,91,0.5947712418300654,117,0.6290322580645161,120,0.6818181818181818
A0A075B6R9;A0A0C4DH68,IGKV2D-24;IGKV2-24,Probable non-functional immunoglobulin kappa variable 2D-24;Immunoglobulin kappa variable 2-24,KVD24_HUMAN;KV224_HUMAN,1.214596809898531,0.0040983606557377,13078.93;13079.01,105,0.6862745098039216,147,0.7903225806451613,142,0.8068181818181818
A0A087WSX0,IGLV5-45,Immunoglobulin lambda variable 5-45,LV545_HUMAN,1.630182571035466,0.006765899864682,13161.78,152,0.9934640522875817,183,0.9838709677419355,176,1.0
A0A087WSY4,IGHV4-30-2,Immunoglobulin heavy variable 4-30-2,HV432_HUMAN,1.950231080227986,0.0072727272727272,13024.91,96,0.6274509803921569,123,0.6612903225806451,127,0.7215909090909091
A0A087WSY6,IGKV3D-15,Immunoglobulin kappa variable 3D-15,KVD15_HUMAN,1.24246744195097,0.0040983606557377,12534.23,111,0.7254901960784313,139,0.7473118279569892,134,0.7613636363636364
A0A0A0MRZ8;P04433,IGKV3D-11;IGKV3-11,Immunoglobulin kappa variable 3D-11;Immunoglobulin kappa variable 3-11,KVD11_HUMAN;KV311_HUMAN,1.084780816284444,0.0040983606557377,12625.24;12575.18,152,0.9934640522875817,185,0.9946236559139785,174,0.9886363636363636
A0A0A0MS15,IGHV3-49,Immunoglobulin heavy variable 3-49,HV349_HUMAN,1.483493305039684,0.0072727272727272,13055.93,152,0.9934640522875817,184,0.989247311827957,176,1.0
A0A0B4J1U7,IGHV6-1,Immunoglobulin heavy variable 6-1,HV601_HUMAN,1.18320131043275,0.006765899864682,13481.28,145,0.9477124183006536,184,0.989247311827957,171,0.9715909090909091
A0A0B4J1V0,IGHV3-15,Immunoglobulin heavy variable 3-15,HV315_HUMAN,1.318502772936979,0.0040983606557377,12925.78,150,0.9803921568627451,179,0.9623655913978495,170,0.9659090909090909
A0A0B4J1V2,IGHV2-26,Immunoglobulin heavy variable 2-26,HV226_HUMAN,1.438905779473081,0.0073810825587752,13182.26,98,0.6405228758169934,133,0.7150537634408602,128,0.7272727272727273
A0A0B4J1V6,IGHV3-73,Immunoglobulin heavy variable 3-73,HV373_HUMAN,1.358782542584088,0.0040983606557377,12857.67,94,0.6143790849673203,131,0.7043010752688172,121,0.6875
A0A0B4J1X5,IGHV3-74,Immunoglobulin heavy variable 3-74,HV374_HUMAN,1.359522229571974,0.0073810825587752,12839.61,152,0.9934640522875817,184,0.989247311827957,175,0.9943181818181818
A0A0B4J1Y8,IGLV9-49,Immunoglobulin lambda variable 9-49,LV949_HUMAN,1.857165418733417,0.0065597667638483,13023.67,134,0.8758169934640523,169,0.9086021505376344,159,0.9034090909090909
A0A0B4J1Y9,IGHV3-72,Immunoglobulin heavy variable 3-72,HV372_HUMAN,1.068702801555426,0.0040983606557377,13202.93,153,1.0,186,1.0,176,1.0
A0A0C4DH25,IGKV3D-20,Immunoglobulin kappa variable 3D-20,KVD20_HUMAN,1.19477827610204,0.0072727272727272,12515.07,140,0.9150326797385621,180,0.967741935483871,163,0.9261363636363636
A0A0C4DH31,IGHV1-18,Immunoglobulin heavy variable 1-18,HV118_HUMAN,1.236606821710667,0.006765899864682,12820.43,102,0.6666666666666666,134,0.7204301075268817,131,0.7443181818181818
